Sea Surface Height relative to hydrographic zero - Nazare tide gauge (ref 856)  
LAT: 39 35.167 N    LONG:  9  4.456W  (ETRS89)
Julian Day    Y    M  D  H  M  S  SSH (m)
18497.04167  2019  1 13  1  0  0  1.42
18497.08333  2019  1 13  2  0  0  1.56
18497.12500  2019  1 13  3  0  0  1.86
18497.16667  2019  1 13  4  0  0  2.22
18497.20833  2019  1 13  5  0  0  2.58
18497.25000  2019  1 13  6  0  0  2.86
18497.29167  2019  1 13  7  0  0  2.98
18497.33333  2019  1 13  8  0  0  2.89
18497.37500  2019  1 13  9  0  0  2.62
18497.41667  2019  1 13 10  0  0  2.25
18497.45833  2019  1 13 11  0  0  1.86
18497.50000  2019  1 13 12  0  0  1.55
18497.54167  2019  1 13 13  0  0  1.41
18497.58333  2019  1 13 14  0  0  1.44
18497.62500  2019  1 13 15  0  0  1.63
18497.66667  2019  1 13 16  0  0  1.92
18497.70833  2019  1 13 17  0  0  2.25
18497.75000  2019  1 13 18  0  0  2.53
18497.79167  2019  1 13 19  0  0  2.72
18497.83333  2019  1 13 20  0  0  2.73
18497.87500  2019  1 13 21  0  0  2.58
18497.91667  2019  1 13 22  0  0  2.32
18497.95833  2019  1 13 23  0  0  2.00
18498.00000  2019  1 14  0  0  0  1.71
18498.04167  2019  1 14  1  0  0  1.53
18498.08333  2019  1 14  2  0  0  1.52
18498.12500  2019  1 14  3  0  0  1.66
18498.16667  2019  1 14  4  0  0  1.93
18498.20833  2019  1 14  5  0  0  2.24
18498.25000  2019  1 14  6  0  0  2.56
18498.29167  2019  1 14  7  0  0  2.80
18498.33333  2019  1 14  8  0  0  2.89
18498.37500  2019  1 14  9  0  0  2.79
18498.41667  2019  1 14 10  0  0  2.55
18498.45833  2019  1 14 11  0  0  2.22
18498.50000  2019  1 14 12  0  0  1.87
18498.54167  2019  1 14 13  0  0  1.60
18498.58333  2019  1 14 14  0  0  1.47
18498.62500  2019  1 14 15  0  0  1.50
18498.66667  2019  1 14 16  0  0  1.67
18498.70833  2019  1 14 17  0  0  1.93
18498.75000  2019  1 14 18  0  0  2.24
18498.79167  2019  1 14 19  0  0  2.52
18498.83333  2019  1 14 20  0  0  2.69
18498.87500  2019  1 14 21  0  0  2.71
18498.91667  2019  1 14 22  0  0  2.60
18498.95833  2019  1 14 23  0  0  2.36
18499.00000  2019  1 15  0  0  0  2.07
18499.04167  2019  1 15  1  0  0  1.79
18499.08333  2019  1 15  2  0  0  1.61
