Sea Surface Height relative to hydrographic zero - Nazare tide gauge (ref 856)  
LAT: 39 35.167 N    LONG:  9  4.456W  (ETRS89)
Julian Day    Y    M  D  H  M  S  SSH (m)
18132.45833  2018  1 13 11  0  0  2.69
18132.50000  2018  1 13 12  0  0  2.92
18132.54167  2018  1 13 13  0  0  2.95
18132.58333  2018  1 13 14  0  0  2.76
18132.62500  2018  1 13 15  0  0  2.42
18132.66667  2018  1 13 16  0  0  2.00
18132.70833  2018  1 13 17  0  0  1.60
18132.75000  2018  1 13 18  0  0  1.34
18132.79167  2018  1 13 19  0  0  1.28
18132.83333  2018  1 13 20  0  0  1.44
18132.87500  2018  1 13 21  0  0  1.79
18132.91667  2018  1 13 22  0  0  2.22
18132.95833  2018  1 13 23  0  0  2.66
18133.00000  2018  1 14  0  0  0  3.00
18133.04167  2018  1 14  1  0  0  3.12
18133.08333  2018  1 14  2  0  0  2.99
18133.12500  2018  1 14  3  0  0  2.67
18133.16667  2018  1 14  4  0  0  2.22
18133.20833  2018  1 14  5  0  0  1.75
18133.25000  2018  1 14  6  0  0  1.39
18133.29167  2018  1 14  7  0  0  1.23
18133.33333  2018  1 14  8  0  0  1.29
18133.37500  2018  1 14  9  0  0  1.56
18133.41667  2018  1 14 10  0  0  1.97
18133.45833  2018  1 14 11  0  0  2.41
18133.50000  2018  1 14 12  0  0  2.79
18133.54167  2018  1 14 13  0  0  2.99
18133.58333  2018  1 14 14  0  0  2.95
18133.62500  2018  1 14 15  0  0  2.70
18133.66667  2018  1 14 16  0  0  2.28
18133.70833  2018  1 14 17  0  0  1.80
18133.75000  2018  1 14 18  0  0  1.39
18133.79167  2018  1 14 19  0  0  1.17
18133.83333  2018  1 14 20  0  0  1.19
18133.87500  2018  1 14 21  0  0  1.44
18133.91667  2018  1 14 22  0  0  1.87
18133.95833  2018  1 14 23  0  0  2.37
18134.00000  2018  1 15  0  0  0  2.81
18134.04167  2018  1 15  1  0  0  3.10
18134.08333  2018  1 15  2  0  0  3.13
18134.12500  2018  1 15  3  0  0  2.91
18134.16667  2018  1 15  4  0  0  2.49
18134.20833  2018  1 15  5  0  0  1.97
18134.25000  2018  1 15  6  0  0  1.47
18134.29167  2018  1 15  7  0  0  1.13
18134.33333  2018  1 15  8  0  0  1.04
18134.37500  2018  1 15  9  0  0  1.20
18134.41667  2018  1 15 10  0  0  1.57
18134.45833  2018  1 15 11  0  0  2.05
18134.50000  2018  1 15 12  0  0  2.52
18134.54167  2018  1 15 13  0  0  2.88
18134.58333  2018  1 15 14  0  0  3.01
18134.62500  2018  1 15 15  0  0  2.88
18134.66667  2018  1 15 16  0  0  2.52
18134.70833  2018  1 15 17  0  0  2.03
18134.75000  2018  1 15 18  0  0  1.52
18134.79167  2018  1 15 19  0  0  1.14
18134.83333  2018  1 15 20  0  0  1.00
18134.87500  2018  1 15 21  0  0  1.14
18134.91667  2018  1 15 22  0  0  1.51
18134.95833  2018  1 15 23  0  0  2.03
18135.00000  2018  1 16  0  0  0  2.57
18135.04167  2018  1 16  1  0  0  3.00
18135.08333  2018  1 16  2  0  0  3.20
18135.12500  2018  1 16  3  0  0  3.13
18135.16667  2018  1 16  4  0  0  2.80
18135.20833  2018  1 16  5  0  0  2.28
18135.25000  2018  1 16  6  0  0  1.71
18135.29167  2018  1 16  7  0  0  1.23
18135.33333  2018  1 16  8  0  0  0.97
18135.37500  2018  1 16  9  0  0  0.99
18135.41667  2018  1 16 10  0  0  1.27
18135.45833  2018  1 16 11  0  0  1.72
18135.50000  2018  1 16 12  0  0  2.26
18135.54167  2018  1 16 13  0  0  2.73
18135.58333  2018  1 16 14  0  0  3.02
18135.62500  2018  1 16 15  0  0  3.05
18135.66667  2018  1 16 16  0  0  2.79
18135.70833  2018  1 16 17  0  0  2.33
18135.75000  2018  1 16 18  0  0  1.77
18135.79167  2018  1 16 19  0  0  1.28
18135.83333  2018  1 16 20  0  0  0.99
18135.87500  2018  1 16 21  0  0  0.97
18135.91667  2018  1 16 22  0  0  1.23
18135.95833  2018  1 16 23  0  0  1.72
18136.00000  2018  1 17  0  0  0  2.29
18136.04167  2018  1 17  1  0  0  2.83
18136.08333  2018  1 17  2  0  0  3.20
18136.12500  2018  1 17  3  0  0  3.29
18136.16667  2018  1 17  4  0  0  3.08
18136.20833  2018  1 17  5  0  0  2.63
18136.25000  2018  1 17  6  0  0  2.03
18136.29167  2018  1 17  7  0  0  1.45
18136.33333  2018  1 17  8  0  0  1.03
18136.37500  2018  1 17  9  0  0  0.88
18136.41667  2018  1 17 10  0  0  1.02
18136.45833  2018  1 17 11  0  0  1.41
18136.50000  2018  1 17 12  0  0  1.95
18136.54167  2018  1 17 13  0  0  2.49
18136.58333  2018  1 17 14  0  0  2.91
18136.62500  2018  1 17 15  0  0  3.10
18136.66667  2018  1 17 16  0  0  2.98
18136.70833  2018  1 17 17  0  0  2.60
18136.75000  2018  1 17 18  0  0  2.06
18136.79167  2018  1 17 19  0  0  1.50
18136.83333  2018  1 17 20  0  0  1.06
18136.87500  2018  1 17 21  0  0  0.88
18136.91667  2018  1 17 22  0  0  1.01
18136.95833  2018  1 17 23  0  0  1.41
18137.00000  2018  1 18  0  0  0  1.98
18137.04167  2018  1 18  1  0  0  2.57
18137.08333  2018  1 18  2  0  0  3.05
18137.12500  2018  1 18  3  0  0  3.32
18137.16667  2018  1 18  4  0  0  3.27
18137.20833  2018  1 18  5  0  0  2.93
18137.25000  2018  1 18  6  0  0  2.39
18137.29167  2018  1 18  7  0  0  1.76
18137.33333  2018  1 18  8  0  0  1.21
18137.37500  2018  1 18  9  0  0  0.89
18137.41667  2018  1 18 10  0  0  0.87
18137.45833  2018  1 18 11  0  0  1.16
18137.50000  2018  1 18 12  0  0  1.66
18137.54167  2018  1 18 13  0  0  2.23
18137.58333  2018  1 18 14  0  0  2.75
18137.62500  2018  1 18 15  0  0  3.09
18137.66667  2018  1 18 16  0  0  3.14
18137.70833  2018  1 18 17  0  0  2.88
18137.75000  2018  1 18 18  0  0  2.40
18137.79167  2018  1 18 19  0  0  1.82
18137.83333  2018  1 18 20  0  0  1.28
18137.87500  2018  1 18 21  0  0  0.93
18137.91667  2018  1 18 22  0  0  0.88
18137.95833  2018  1 18 23  0  0  1.15
18138.00000  2018  1 19  0  0  0  1.65
18138.04167  2018  1 19  1  0  0  2.25
18138.08333  2018  1 19  2  0  0  2.82
18138.12500  2018  1 19  3  0  0  3.24
18138.16667  2018  1 19  4  0  0  3.36
18138.20833  2018  1 19  5  0  0  3.17
18138.25000  2018  1 19  6  0  0  2.71
18138.29167  2018  1 19  7  0  0  2.09
18138.33333  2018  1 19  8  0  0  1.47
18138.37500  2018  1 19  9  0  0  1.01
18138.41667  2018  1 19 10  0  0  0.81
18138.45833  2018  1 19 11  0  0  0.93
18138.50000  2018  1 19 12  0  0  1.33
18138.54167  2018  1 19 13  0  0  1.88
18138.58333  2018  1 19 14  0  0  2.43
18138.62500  2018  1 19 15  0  0  2.88
18138.66667  2018  1 19 16  0  0  3.09
18138.70833  2018  1 19 17  0  0  3.00
18138.75000  2018  1 19 18  0  0  2.63
18138.79167  2018  1 19 19  0  0  2.09
18138.83333  2018  1 19 20  0  0  1.51
18138.87500  2018  1 19 21  0  0  1.05
18138.91667  2018  1 19 22  0  0  0.85
18138.95833  2018  1 19 23  0  0  0.95
18139.00000  2018  1 20  0  0  0  1.32
18139.04167  2018  1 20  1  0  0  1.87
18139.08333  2018  1 20  2  0  0  2.46
18139.12500  2018  1 20  3  0  0  2.97
18139.16667  2018  1 20  4  0  0  3.26
18139.20833  2018  1 20  5  0  0  3.25
18139.25000  2018  1 20  6  0  0  2.93
18139.29167  2018  1 20  7  0  0  2.40
18139.33333  2018  1 20  8  0  0  1.77
18139.37500  2018  1 20  9  0  0  1.20
18139.41667  2018  1 20 10  0  0  0.86
18139.45833  2018  1 20 11  0  0  0.81
18139.50000  2018  1 20 12  0  0  1.06
18139.54167  2018  1 20 13  0  0  1.53
18139.58333  2018  1 20 14  0  0  2.07
18139.62500  2018  1 20 15  0  0  2.59
18139.66667  2018  1 20 16  0  0  2.94
18139.70833  2018  1 20 17  0  0  3.02
18139.75000  2018  1 20 18  0  0  2.81
18139.79167  2018  1 20 19  0  0  2.38
18139.83333  2018  1 20 20  0  0  1.83
18139.87500  2018  1 20 21  0  0  1.31
18139.91667  2018  1 20 22  0  0  0.95
18139.95833  2018  1 20 23  0  0  0.88
18140.00000  2018  1 21  0  0  0  1.10
18140.04167  2018  1 21  1  0  0  1.54
18140.08333  2018  1 21  2  0  0  2.10
18140.12500  2018  1 21  3  0  0  2.65
18140.16667  2018  1 21  4  0  0  3.07
18140.20833  2018  1 21  5  0  0  3.23
18140.25000  2018  1 21  6  0  0  3.09
18140.29167  2018  1 21  7  0  0  2.71
18140.33333  2018  1 21  8  0  0  2.14
18140.37500  2018  1 21  9  0  0  1.54
18140.41667  2018  1 21 10  0  0  1.07
18140.45833  2018  1 21 11  0  0  0.85
18140.50000  2018  1 21 12  0  0  0.93
18140.54167  2018  1 21 13  0  0  1.26
18140.58333  2018  1 21 14  0  0  1.74
18140.62500  2018  1 21 15  0  0  2.27
18140.66667  2018  1 21 16  0  0  2.71
18140.70833  2018  1 21 17  0  0  2.95
18140.75000  2018  1 21 18  0  0  2.91
18140.79167  2018  1 21 19  0  0  2.62
18140.83333  2018  1 21 20  0  0  2.17
18140.87500  2018  1 21 21  0  0  1.65
18140.91667  2018  1 21 22  0  0  1.20
18140.95833  2018  1 21 23  0  0  0.97
18141.00000  2018  1 22  0  0  0  1.01
18141.04167  2018  1 22  1  0  0  1.29
18141.08333  2018  1 22  2  0  0  1.75
18141.12500  2018  1 22  3  0  0  2.29
18141.16667  2018  1 22  4  0  0  2.77
18141.20833  2018  1 22  5  0  0  3.08
18141.25000  2018  1 22  6  0  0  3.14
